[2026-04-19T22:10:16.225+0100][0.468s][info][gc,metaspace] GC(6) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:16.225+0100][0.468s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 95M->4M(157M) 1.956ms
[2026-04-19T22:10:16.225+0100][0.468s][info][gc,cpu      ] GC(6) User=0.00s Sys=0.00s Real=0.00s
[2026-04-19T22:10:16.291+0100][0.534s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.291+0100][0.534s][info][gc,task     ] GC(7) Using 3 workers of 8 for evacuation
[2026-04-19T22:10:16.292+0100][0.535s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.0ms
[2026-04-19T22:10:16.292+0100][0.535s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.292+0100][0.535s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 1.1ms
[2026-04-19T22:10:16.292+0100][0.535s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.292+0100][0.535s][info][gc,phases   ] GC(7)   Other: 0.0ms
[2026-04-19T22:10:16.292+0100][0.535s][info][gc,heap     ] GC(7) Eden regions: 90->0(90)
[2026-04-19T22:10:16.292+0100][0.535s][info][gc,heap     ] GC(7) Survivor regions: 4->4(12)
[2026-04-19T22:10:16.292+0100][0.535s][info][gc,heap     ] GC(7) Old regions: 3->3
[2026-04-19T22:10:16.292+0100][0.535s][info][gc,heap     ] GC(7) Humongous regions: 0->0
[2026-04-19T22:10:16.292+0100][0.535s][info][gc,metaspace] GC(7) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:16.292+0100][0.535s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 94M->5M(157M) 1.398ms
[2026-04-19T22:10:16.292+0100][0.535s][info][gc,cpu      ] GC(7) User=0.01s Sys=0.00s Real=0.00s
[2026-04-19T22:10:16.358+0100][0.601s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.358+0100][0.601s][info][gc,task     ] GC(8) Using 3 workers of 8 for evacuation
[2026-04-19T22:10:16.359+0100][0.602s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.360+0100][0.602s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.360+0100][0.602s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 1.1ms
[2026-04-19T22:10:16.360+0100][0.602s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.2ms
[2026-04-19T22:10:16.360+0100][0.602s][info][gc,phases   ] GC(8)   Other: 0.0ms
[2026-04-19T22:10:16.360+0100][0.602s][info][gc,heap     ] GC(8) Eden regions: 90->0(109)
[2026-04-19T22:10:16.360+0100][0.602s][info][gc,heap     ] GC(8) Survivor regions: 4->4(12)
[2026-04-19T22:10:16.360+0100][0.602s][info][gc,heap     ] GC(8) Old regions: 3->3
[2026-04-19T22:10:16.360+0100][0.602s][info][gc,heap     ] GC(8) Humongous regions: 0->0
